"행정구역","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율","2025년_총인구수","2025년_세대수","2025년_세대당 인구","2025년_남자 인구수","2025년_여자 인구수","2025년_남여 비율"
"경기도 경기도 용인시 (4146000000)","1,074,176","420,519","          2.55","532,847","541,329","          0.98","1,077,508","429,492","          2.51","534,459","543,049","          0.98","1,074,971","432,151","          2.49","533,323","541,648","          0.98","1,075,566","435,340","          2.47","533,387","542,179","          0.98","1,085,864","443,702","          2.45","538,049","547,815","          0.98","1,091,186","448,730","          2.43","540,342","550,844","          0.98"
"경기도 경기도 용인시 처인구 (4146100000)","257,498","111,684","          2.31","131,974","125,524","          1.05","260,198","115,048","          2.26","133,503","126,695","          1.05","259,288","115,654","          2.24","133,113","126,175","          1.05","261,488","117,863","          2.22","134,289","127,199","          1.06","274,162","125,043","          2.19","140,423","133,739","          1.05","282,044","129,138","          2.18","144,280","137,764","          1.05"
"경기도 용인시 처인구 포곡읍(4146125000)","33,300","14,372","          2.32","17,230","16,070","          1.07","33,495","14,592","          2.30","17,300","16,195","          1.07","33,508","14,680","          2.28","17,302","16,206","          1.07","32,880","14,538","          2.26","16,989","15,891","          1.07","31,300","14,173","          2.21","16,189","15,111","          1.07","30,848","14,128","          2.18","15,939","14,909","          1.07"
"경기도 용인시 처인구 모현읍(4146125300)","26,202","11,783","          2.22","13,729","12,473","          1.10","27,119","12,407","          2.19","14,224","12,895","          1.10","26,726","12,333","          2.17","13,971","12,755","          1.10","26,287","12,242","          2.15","13,756","12,531","          1.10","27,529","13,017","          2.11","14,349","13,180","          1.09","34,384","15,822","          2.17","17,726","16,658","          1.06"
"경기도 용인시 처인구 이동읍(4146125600)","20,265","8,796","          2.30","10,372","9,893","          1.05","20,446","9,057","          2.26","10,468","9,978","          1.05","20,536","9,209","          2.23","10,545","9,991","          1.06","20,066","9,163","          2.19","10,337","9,729","          1.06","19,464","9,018","          2.16","10,029","9,435","          1.06","19,018","8,921","          2.13","9,773","9,245","          1.06"
"경기도 용인시 처인구 남사읍(4146125900)","0","0","          0.00","0","0","          0.00","23,904","9,873","          2.42","12,065","11,839","          1.02","23,713","9,844","          2.41","11,991","11,722","          1.02","23,881","10,011","          2.39","12,081","11,800","          1.02","23,644","9,986","          2.37","11,991","11,653","          1.03","23,561","9,999","          2.36","11,925","11,636","          1.02"
"경기도 용인시 처인구 남사면(4146132000)","23,547","9,759","          2.41","11,849","11,698","          1.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"경기도 용인시 처인구 원삼면(4146134000)","8,252","4,013","          2.06","4,302","3,950","          1.09","8,278","4,068","          2.03","4,305","3,973","          1.08","8,022","3,970","          2.02","4,187","3,835","          1.09","7,914","4,021","          1.97","4,147","3,767","          1.10","7,737","3,999","          1.93","4,049","3,688","          1.10","7,477","3,880","          1.93","3,930","3,547","          1.11"
"경기도 용인시 처인구 백암면(4146135000)","8,461","4,431","          1.91","4,561","3,900","          1.17","8,394","4,500","          1.87","4,555","3,839","          1.19","8,296","4,500","          1.84","4,518","3,778","          1.20","8,045","4,400","          1.83","4,370","3,675","          1.19","7,901","4,349","          1.82","4,263","3,638","          1.17","7,584","4,226","          1.79","4,143","3,441","          1.20"
"경기도 용인시 처인구 양지면(4146136000)","19,084","8,794","          2.17","10,131","8,953","          1.13","19,493","9,257","          2.11","10,363","9,130","          1.14","19,723","9,377","          2.10","10,509","9,214","          1.14","19,846","9,602","          2.07","10,603","9,243","          1.15","19,751","9,748","          2.03","10,459","9,292","          1.13","21,455","10,517","          2.04","11,255","10,200","          1.10"
