"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2023년_계_20~29세","2023년_계_30~39세","2023년_계_40~49세","2023년_계_50~59세","2023년_계_60~69세","2023년_계_70~79세","2023년_계_80~89세","2023년_계_90~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상","2024년_남_총인구수","2024년_남_연령구간인구수","2024년_남_0~9세","2024년_남_10~19세","2024년_남_20~29세","2024년_남_30~39세","2024년_남_40~49세","2024년_남_50~59세","2024년_남_60~69세","2024년_남_70~79세","2024년_남_80~89세","2024년_남_90~99세","2024년_남_100세 이상","2024년_여_총인구수","2024년_여_연령구간인구수","2024년_여_0~9세","2024년_여_10~19세","2024년_여_20~29세","2024년_여_30~39세","2024년_여_40~49세","2024년_여_50~59세","2024년_여_60~69세","2024년_여_70~79세","2024년_여_80~89세","2024년_여_90~99세","2024년_여_100세 이상","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~9세","2025년_남_10~19세","2025년_남_20~29세","2025년_남_30~39세","2025년_남_40~49세","2025년_남_50~59세","2025년_남_60~69세","2025년_남_70~79세","2025년_남_80~89세","2025년_남_90~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~9세","2025년_여_10~19세","2025년_여_20~29세","2025년_여_30~39세","2025년_여_40~49세","2025년_여_50~59세","2025년_여_60~69세","2025년_여_70~79세","2025년_여_80~89세","2025년_여_90~99세","2025년_여_100세 이상"
"경기도 용인시 (4146000000)","1,074,176","1,074,176","100,771","121,165","137,762","145,303","200,015","165,072","106,264","65,624","27,806","4,189","205","532,847","532,847","51,507","62,194","71,344","71,746","98,833","83,930","50,673","29,896","11,564","1,123","37","541,329","541,329","49,264","58,971","66,418","73,557","101,182","81,142","55,591","35,728","16,242","3,066","168","1,077,508","1,077,508","94,607","120,420","137,886","140,537","197,392","171,534","114,056","65,921","30,546","4,463","146","534,459","534,459","48,329","61,632","71,890","69,724","97,185","87,064","54,831","29,688","12,909","1,185","22","543,049","543,049","46,278","58,788","65,996","70,813","100,207","84,470","59,225","36,233","17,637","3,278","124","1,074,971","1,074,971","87,516","121,214","134,702","136,105","194,262","176,697","117,999","68,091","33,541","4,704","140","533,323","533,323","44,751","61,989","70,445","67,962","95,481","89,378","57,230","30,407","14,334","1,317","29","541,648","541,648","42,765","59,225","64,257","68,143","98,781","87,319","60,769","37,684","19,207","3,387","111","1,075,566","1,075,566","81,223","120,355","132,631","133,020","190,127","183,137","123,235","70,868","35,730","5,102","138","533,387","533,387","41,477","61,540","69,357","66,991","93,478","91,912","60,368","31,526","15,262","1,446","30","542,179","542,179","39,746","58,815","63,274","66,029","96,649","91,225","62,867","39,342","20,468","3,656","108","1,085,864","1,085,864","76,713","120,536","131,098","135,807","185,489","188,978","129,239","74,290","37,873","5,688","153","538,049","538,049","39,202","61,540","68,445","68,893","91,014","94,432","63,617","33,008","16,163","1,697","38","547,815","547,815","37,511","58,996","62,653","66,914","94,475","94,546","65,622","41,282","21,710","3,991","115","1,091,186","1,091,186","72,561","120,967","127,343","137,917","181,259","192,022","133,792","78,991","39,729","6,448","157","540,342","540,342","36,951","61,681","66,566","70,367","88,927","95,569","66,181","35,154","16,915","1,999","32","550,844","550,844","35,610","59,286","60,777","67,550","92,332","96,453","67,611","43,837","22,814","4,449","125"
"경기도 용인시 처인구 (4146100000)","257,498","257,498","21,222","24,883","34,504","34,006","43,528","43,270","31,378","16,025","7,426","1,178","78","131,974","131,974","10,834","12,955","18,759","18,018","22,901","22,350","15,776","7,406","2,701","261","13","125,524","125,524","10,388","11,928","15,745","15,988","20,627","20,920","15,602","8,619","4,725","917","65","260,198","260,198","19,959","24,709","34,685","33,398","43,521","44,111","34,423","16,215","7,913","1,231","33","133,503","133,503","10,220","12,825","18,873","17,852","22,884","22,772","17,388","7,481","2,944","258","6","126,695","126,695","9,739","11,884","15,812","15,546","20,637","21,339","17,035","8,734","4,969","973","27","259,288","259,288","18,399","24,871","33,479","32,399","42,955","44,484","35,744","17,140","8,481","1,305","31","133,113","133,113","9,495","12,837","18,262","17,429","22,552","23,004","18,089","7,978","3,174","288","5","126,175","126,175","8,904","12,034","15,217","14,970","20,403","21,480","17,655","9,162","5,307","1,017","26","261,488","261,488","17,293","24,728","32,807","32,165","42,678","45,901","37,545","18,145","8,809","1,384","33","134,289","134,289","8,866","12,801","17,984","17,462","22,364","23,635","19,039","8,516","3,297","321","4","127,199","127,199","8,427","11,927","14,823","14,703","20,314","22,266","18,506","9,629","5,512","1,063","29","274,162","274,162","17,843","25,543","32,780","35,547","43,764","48,004","40,177","19,660","9,290","1,520","34","140,423","140,423","9,086","13,122","17,984","19,196","22,900","24,640","20,388","9,249","3,480","373","5","133,739","133,739","8,757","12,421","14,796","16,351","20,864","23,364","19,789","10,411","5,810","1,147","29","282,044","282,044","17,792","26,152","32,114","37,303","44,375","49,066","42,215","21,649","9,598","1,742","38","144,280","144,280","9,043","13,382","17,577","20,106","23,237","25,238","21,354","10,241","3,661","435","6","137,764","137,764","8,749","12,770","14,537","17,197","21,138","23,828","20,861","11,408","5,937","1,307","32"
"경기도 용인시 처인구 포곡읍(4146125000)","33,300","33,300","2,317","3,704","4,791","3,942","5,976","5,904","3,696","1,916","931","123","0","17,230","17,230","1,187","1,946","2,690","2,144","3,115","3,112","1,862","822","329","23","0","16,070","16,070","1,130","1,758","2,101","1,798","2,861","2,792","1,834","1,094","602","100","0","33,495","33,495","2,132","3,621","4,807","3,837","5,915","6,098","4,035","1,939","967","143","1","17,300","17,300","1,098","1,879","2,685","2,117","3,061","3,220","2,037","837","341","25","0","16,195","16,195","1,034","1,742","2,122","1,720","2,854","2,878","1,998","1,102","626","118","1","33,508","33,508","1,934","3,626","4,768","3,729","5,780","6,164","4,266","2,024","1,065","151","1","17,302","17,302","997","1,910","2,652","2,087","2,962","3,251","2,153","882","380","28","0","16,206","16,206","937","1,716","2,116","1,642","2,818","2,913","2,113","1,142","685","123","1","32,880","32,880","1,678","3,503","4,555","3,567","5,532","6,267","4,439","2,088","1,086","164","1","16,989","16,989","871","1,826","2,563","2,033","2,807","3,269","2,292","911","387","29","1","15,891","15,891","807","1,677","1,992","1,534","2,725","2,998","2,147","1,177","699","135","0","31,300","31,300","1,320","3,270","4,211","3,260","4,933","6,221","4,598","2,177","1,138","171","1","16,189","16,189","691","1,689","2,380","1,855","2,507","3,283","2,383","953","406","42","0","15,111","15,111","629","1,581","1,831","1,405","2,426","2,938","2,215","1,224","732","129","1","30,848","30,848","1,178","3,118","4,010","3,271","4,628","6,176","4,770","2,316","1,162","215","4","15,939","15,939","623","1,616","2,258","1,858","2,366","3,264","2,463","1,016","421","54","0","14,909","14,909","555","1,502","1,752","1,413","2,262","2,912","2,307","1,300","741","161","4"
"경기도 용인시 처인구 모현읍(4146125300)","26,202","26,202","1,943","2,359","3,349","3,047","4,452","4,664","3,605","1,862","786","127","8","13,729","13,729","1,015","1,230","1,873","1,600","2,391","2,533","1,859","887","316","23","2","12,473","12,473","928","1,129","1,476","1,447","2,061","2,131","1,746","975","470","104","6","27,119","27,119","1,811","2,436","3,515","3,060","4,560","4,866","3,986","1,878","863","141","3","14,224","14,224","959","1,293","1,946","1,626","2,440","2,622","2,072","885","353","28","0","12,895","12,895","852","1,143","1,569","1,434","2,120","2,244","1,914","993","510","113","3","26,726","26,726","1,669","2,385","3,307","2,901","4,439","4,860","4,114","1,993","912","143","3","13,971","13,971","884","1,249","1,806","1,549","2,378","2,608","2,143","963","363","28","0","12,755","12,755","785","1,136","1,501","1,352","2,061","2,252","1,971","1,030","549","115","3","26,287","26,287","1,418","2,398","3,224","2,696","4,256","4,896","4,218","2,079","949","150","3","13,756","13,756","730","1,273","1,778","1,460","2,251","2,640","2,204","1,024","366","30","0","12,531","12,531","688","1,125","1,446","1,236","2,005","2,256","2,014","1,055","583","120","3","27,529","27,529","1,419","2,463","3,294","3,062","4,296","5,156","4,472","2,185","1,016","159","7","14,349","14,349","705","1,309","1,827","1,661","2,276","2,725","2,340","1,092","378","35","1","13,180","13,180","714","1,154","1,467","1,401","2,020","2,431","2,132","1,093","638","124","6","34,384","34,384","2,347","2,908","3,799","4,699","5,481","6,048","5,194","2,598","1,119","186","5","17,726","17,726","1,175","1,530","2,054","2,488","2,900","3,136","2,676","1,290","426","50","1","16,658","16,658","1,172","1,378","1,745","2,211","2,581","2,912","2,518","1,308","693","136","4"
"경기도 용인시 처인구 이동읍(4146125600)","20,265","20,265","1,586","1,789","2,135","2,370","3,334","3,696","2,959","1,512","744","131","9","10,372","10,372","796","930","1,217","1,305","1,814","1,930","1,439","674","246","20","1","9,893","9,893","790","859","918","1,065","1,520","1,766","1,520","838","498","111","8","20,446","20,446","1,433","1,789","2,173","2,321","3,310","3,752","3,211","1,521","799","131","6","10,468","10,468","705","924","1,231","1,318","1,801","1,943","1,582","678","266","19","1","9,978","9,978","728","865","942","1,003","1,509","1,809","1,629","843","533","112","5","20,536","20,536","1,304","1,780","2,118","2,359","3,224","3,796","3,362","1,567","875","146","5","10,545","10,545","652","927","1,193","1,341","1,754","1,975","1,685","696","293","29","0","9,991","9,991","652","853","925","1,018","1,470","1,821","1,677","871","582","117","5","20,066","20,066","1,153","1,708","2,008","2,219","3,041","3,786","3,451","1,640","893","162","5","10,337","10,337","578","892","1,143","1,278","1,657","1,986","1,735","738","298","32","0","9,729","9,729","575","816","865","941","1,384","1,800","1,716","902","595","130","5","19,464","19,464","968","1,630","1,920","2,018","2,841","3,689","3,617","1,732","874","172","3","10,029","10,029","481","848","1,103","1,185","1,530","1,945","1,828","777","300","31","1","9,435","9,435","487","782","817","833","1,311","1,744","1,789","955","574","141","2","19,018","19,018","810","1,578","1,772","1,906","2,685","3,611","3,710","1,873","881","184","8","9,773","9,773","400","801","993","1,153","1,432","1,923","1,881","841","314","34","1","9,245","9,245","410","777","779","753","1,253","1,688","1,829","1,032","567","150","7"
"경기도 용인시 처인구 남사읍(4146125900)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23,904","23,904","3,117","2,114","1,826","3,989","4,412","3,081","3,073","1,544","650","95","3","12,065","12,065","1,583","1,063","978","1,975","2,374","1,543","1,511","770","245","22","1","11,839","11,839","1,534","1,051","848","2,014","2,038","1,538","1,562","774","405","73","2","23,713","23,713","2,865","2,368","1,633","3,675","4,571","3,072","3,072","1,668","685","102","2","11,991","11,991","1,471","1,171","876","1,831","2,430","1,582","1,507","839","266","17","1","11,722","11,722","1,394","1,197","757","1,844","2,141","1,490","1,565","829","419","85","1","23,881","23,881","2,663","2,573","1,574","3,400","4,725","3,189","3,148","1,788","713","105","3","12,081","12,081","1,348","1,283","853","1,726","2,479","1,649","1,542","897","279","24","1","11,800","11,800","1,315","1,290","721","1,674","2,246","1,540","1,606","891","434","81","2","23,644","23,644","2,370","2,763","1,462","3,076","4,754","3,242","3,244","1,861","758","113","1","11,991","11,991","1,223","1,366","808","1,566","2,471","1,691","1,614","920","299","33","0","11,653","11,653","1,147","1,397","654","1,510","2,283","1,551","1,630","941","459","80","1","23,561","23,561","2,144","2,976","1,364","2,886","4,777","3,252","3,227","2,038","756","140","1","11,925","11,925","1,096","1,490","751","1,449","2,473","1,713","1,611","990","315","37","0","11,636","11,636","1,048","1,486","613","1,437","2,304","1,539","1,616","1,048","441","103","1"
"경기도 용인시 처인구 남사면(4146132000)","23,547","23,547","3,195","1,870","1,934","4,227","4,100","3,112","2,878","1,494","622","109","6","11,849","11,849","1,599","924","1,023","2,090","2,253","1,552","1,395","757","228","28","0","11,698","11,698","1,596","946","911","2,137","1,847","1,560","1,483","737","394","81","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 용인시 처인구 원삼면(4146134000)","8,252","8,252","326","575","743","731","1,093","1,616","1,652","950","485","77","4","4,302","4,302","168","303","421","423","606","853","856","483","171","18","0","3,950","3,950","158","272","322","308","487","763","796","467","314","59","4","8,278","8,278","333","568","702","710","1,056","1,568","1,824","920","510","85","2","4,305","4,305","166","296","400","416","573","839","926","479","192","17","1","3,973","3,973","167","272","302","294","483","729","898","441","318","68","1","8,022","8,022","297","532","681","645","985","1,529","1,811","958","508","75","1","4,187","4,187","141","277","404","368","535","823","925","505","192","17","0","3,835","3,835","156","255","277","277","450","706","886","453","316","58","1","7,914","7,914","257","588","666","597","916","1,462","1,817","986","532","92","1","4,147","4,147","127","311","382","354","502","794","935","503","218","21","0","3,767","3,767","130","277","284","243","414","668","882","483","314","71","1","7,737","7,737","197","590","622","570","835","1,393","1,861","1,047","517","103","2","4,049","4,049","94","301","345","354","458","749","981","532","211","23","1","3,688","3,688","103","289","277","216","377","644","880","515","306","80","1","7,477","7,477","173","490","531","548","801","1,345","1,879","1,084","514","111","1","3,930","3,930","87","249","304","337","438","725","988","560","219","22","1","3,547","3,547","86","241","227","211","363","620","891","524","295","89","0"
"경기도 용인시 처인구 백암면(4146135000)","8,461","8,461","239","509","867","728","1,011","1,602","1,810","939","657","92","7","4,561","4,561","133","282","531","437","612","885","981","446","231","22","1","3,900","3,900","106","227","336","291","399","717","829","493","426","70","6","8,394","8,394","228","469","844","728","976","1,554","1,925","921","665","83","1","4,555","4,555","124","257","527","434","598","885","1,031","443","236","20","0","3,839","3,839","104","212","317","294","378","669","894","478","429","63","1","8,296","8,296","221","452","771","709","959","1,487","1,953","961","688","93","2","4,518","4,518","120","260","479","418","600","862","1,032","478","249","19","1","3,778","3,778","101","192","292","291","359","625","921","483","439","74","1","8,045","8,045","182","384","723","632","923","1,442","1,954","1,016","690","98","1","4,370","4,370","95","217","447","380","578","841","1,030","516","242","24","0","3,675","3,675","87","167","276","252","345","601","924","500","448","74","1","7,901","7,901","177","394","613","631","842","1,399","1,980","1,081","670","113","1","4,263","4,263","92","203","371","380","522","836","1,042","559","228","30","0","3,638","3,638","85","191","242","251","320","563","938","522","442","83","1","7,584","7,584","156","345","516","599","775","1,317","1,922","1,177","644","133","0","4,143","4,143","85","189","315","368","483","798","1,020","610","237","38","0","3,441","3,441","71","156","201","231","292","519","902","567","407","95","0"
"경기도 용인시 처인구 양지면(4146136000)","19,084","19,084","1,308","1,946","2,383","2,408","3,125","3,388","2,607","1,187","609","113","10","10,131","10,131","681","1,062","1,356","1,377","1,699","1,773","1,373","578","204","27","1","8,953","8,953","627","884","1,027","1,031","1,426","1,615","1,234","609","405","86","9","19,493","19,493","1,208","1,834","2,448","2,470","3,114","3,485","2,958","1,194","654","122","6","10,363","10,363","653","974","1,392","1,403","1,707","1,845","1,554","578","233","24","0","9,130","9,130","555","860","1,056","1,067","1,407","1,640","1,404","616","421","98","6","19,723","19,723","1,113","1,963","2,341","2,482","3,069","3,529","3,143","1,263","688","127","5","10,509","10,509","600","1,067","1,317","1,441","1,685","1,854","1,647","623","250","24","1","9,214","9,214","513","896","1,024","1,041","1,384","1,675","1,496","640","438","103","4","19,846","19,846","1,060","1,730","2,275","2,552","3,043","3,653","3,332","1,363","694","138","6","10,603","10,603","550","934","1,296","1,496","1,693","1,896","1,752","702","255","28","1","9,243","9,243","510","796","979","1,056","1,350","1,757","1,580","661","439","110","5","19,751","19,751","992","1,702","2,122","2,520","2,974","3,648","3,442","1,501","704","140","6","10,459","10,459","506","929","1,194","1,435","1,651","1,893","1,782","776","262","30","1","9,292","9,292","486","773","928","1,085","1,323","1,755","1,660","725","442","110","5","21,455","21,455","1,127","1,801","2,116","2,998","3,206","3,867","3,759","1,684","736","155","6","11,255","11,255","563","937","1,183","1,677","1,766","2,017","1,929","869","288","24","2","10,200","10,200","564","864","933","1,321","1,440","1,850","1,830","815","448","131","4"
