"행정구역","2020년_전년인구수_남자인구수","2020년_전년인구수_여자인구수","2020년_전년인구수_계","2020년_당년인구수_남자인구수","2020년_당년인구수_여자인구수","2020년_당년인구수_계","2020년_인구증감_남자인구수","2020년_인구증감_여자인구수","2020년_인구증감_계","2021년_전년인구수_남자인구수","2021년_전년인구수_여자인구수","2021년_전년인구수_계","2021년_당년인구수_남자인구수","2021년_당년인구수_여자인구수","2021년_당년인구수_계","2021년_인구증감_남자인구수","2021년_인구증감_여자인구수","2021년_인구증감_계","2022년_전년인구수_남자인구수","2022년_전년인구수_여자인구수","2022년_전년인구수_계","2022년_당년인구수_남자인구수","2022년_당년인구수_여자인구수","2022년_당년인구수_계","2022년_인구증감_남자인구수","2022년_인구증감_여자인구수","2022년_인구증감_계","2023년_전년인구수_남자인구수","2023년_전년인구수_여자인구수","2023년_전년인구수_계","2023년_당년인구수_남자인구수","2023년_당년인구수_여자인구수","2023년_당년인구수_계","2023년_인구증감_남자인구수","2023년_인구증감_여자인구수","2023년_인구증감_계","2024년_전년인구수_남자인구수","2024년_전년인구수_여자인구수","2024년_전년인구수_계","2024년_당년인구수_남자인구수","2024년_당년인구수_여자인구수","2024년_당년인구수_계","2024년_인구증감_남자인구수","2024년_인구증감_여자인구수","2024년_인구증감_계","2025년_전년인구수_남자인구수","2025년_전년인구수_여자인구수","2025년_전년인구수_계","2025년_당년인구수_남자인구수","2025년_당년인구수_여자인구수","2025년_당년인구수_계","2025년_인구증감_남자인구수","2025년_인구증감_여자인구수","2025년_인구증감_계"
"경기도 용인시 (4146000000)","525,946","533,663","1,059,609","532,847","541,329","1,074,176","6,901","7,666","14,567","532,847","541,329","1,074,176","534,459","543,049","1,077,508","1,612","1,720","3,332","534,459","543,049","1,077,508","533,323","541,648","1,074,971","-1,136","-1,401","-2,537","533,323","541,648","1,074,971","533,387","542,179","1,075,566","64","531","595","533,387","542,179","1,075,566","538,049","547,815","1,085,864","4,662","5,636","10,298","538,049","547,815","1,085,864","540,342","550,844","1,091,186","2,293","3,029","5,322"
"경기도 용인시 처인구 (4146100000)","130,034","123,862","253,896","131,974","125,524","257,498","1,940","1,662","3,602","131,974","125,524","257,498","133,503","126,695","260,198","1,529","1,171","2,700","133,503","126,695","260,198","133,113","126,175","259,288","-390","-520","-910","133,113","126,175","259,288","134,289","127,199","261,488","1,176","1,024","2,200","134,289","127,199","261,488","140,423","133,739","274,162","6,134","6,540","12,674","140,423","133,739","274,162","144,280","137,764","282,044","3,857","4,025","7,882"
"경기도 용인시 처인구 포곡읍(4146125000)","17,023","15,927","32,950","17,230","16,070","33,300","207","143","350","17,230","16,070","33,300","17,300","16,195","33,495","70","125","195","17,300","16,195","33,495","17,302","16,206","33,508","2","11","13","17,302","16,206","33,508","16,989","15,891","32,880","-313","-315","-628","16,989","15,891","32,880","16,189","15,111","31,300","-800","-780","-1,580","16,189","15,111","31,300","15,939","14,909","30,848","-250","-202","-452"
"경기도 용인시 처인구 모현읍(4146125300)","13,483","12,254","25,737","13,729","12,473","26,202","246","219","465","13,729","12,473","26,202","14,224","12,895","27,119","495","422","917","14,224","12,895","27,119","13,971","12,755","26,726","-253","-140","-393","13,971","12,755","26,726","13,756","12,531","26,287","-215","-224","-439","13,756","12,531","26,287","14,349","13,180","27,529","593","649","1,242","14,349","13,180","27,529","17,726","16,658","34,384","3,377","3,478","6,855"
"경기도 용인시 처인구 이동읍(4146125600)","10,306","9,870","20,176","10,372","9,893","20,265","66","23","89","10,372","9,893","20,265","10,468","9,978","20,446","96","85","181","10,468","9,978","20,446","10,545","9,991","20,536","77","13","90","10,545","9,991","20,536","10,337","9,729","20,066","-208","-262","-470","10,337","9,729","20,066","10,029","9,435","19,464","-308","-294","-602","10,029","9,435","19,464","9,773","9,245","19,018","-256","-190","-446"
"경기도 용인시 처인구 남사읍(4146125900)","0","0","0","0","0","0","0","0","0","0","0","0","12,065","11,839","23,904","12,065","11,839","23,904","12,065","11,839","23,904","11,991","11,722","23,713","-74","-117","-191","11,991","11,722","23,713","12,081","11,800","23,881","90","78","168","12,081","11,800","23,881","11,991","11,653","23,644","-90","-147","-237","11,991","11,653","23,644","11,925","11,636","23,561","-66","-17","-83"
"경기도 용인시 처인구 남사면(4146132000)","11,589","11,292","22,881","11,849","11,698","23,547","260","406","666","11,849","11,698","23,547","0","0","0","-11,849","-11,698","-23,547","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 용인시 처인구 원삼면(4146134000)","4,292","3,931","8,223","4,302","3,950","8,252","10","19","29","4,302","3,950","8,252","4,305","3,973","8,278","3","23","26","4,305","3,973","8,278","4,187","3,835","8,022","-118","-138","-256","4,187","3,835","8,022","4,147","3,767","7,914","-40","-68","-108","4,147","3,767","7,914","4,049","3,688","7,737","-98","-79","-177","4,049","3,688","7,737","3,930","3,547","7,477","-119","-141","-260"
"경기도 용인시 처인구 백암면(4146135000)","4,527","3,940","8,467","4,561","3,900","8,461","34","-40","-6","4,561","3,900","8,461","4,555","3,839","8,394","-6","-61","-67","4,555","3,839","8,394","4,518","3,778","8,296","-37","-61","-98","4,518","3,778","8,296","4,370","3,675","8,045","-148","-103","-251","4,370","3,675","8,045","4,263","3,638","7,901","-107","-37","-144","4,263","3,638","7,901","4,143","3,441","7,584","-120","-197","-317"
"경기도 용인시 처인구 양지면(4146136000)","9,722","8,723","18,445","10,131","8,953","19,084","409","230","639","10,131","8,953","19,084","10,363","9,130","19,493","232","177","409","10,363","9,130","19,493","10,509","9,214","19,723","146","84","230","10,509","9,214","19,723","10,603","9,243","19,846","94","29","123","10,603","9,243","19,846","10,459","9,292","19,751","-144","49","-95","10,459","9,292","19,751","11,255","10,200","21,455","796","908","1,704"
